x_coord,y_coord,image_source,water_percentage,date,year
8,3,Flood_2000_185.tif,0.08,185,2000
9,3,Flood_2000_185.tif,0.12,185,2000
10,3,Flood_2000_185.tif,0.07,185,2000
11,3,Flood_2000_185.tif,0.05,185,2000
12,3,Flood_2000_185.tif,0.1,185,2000
1,4,Flood_2000_185.tif,0.13,185,2000
2,4,Flood_2000_185.tif,0.11,185,2000
3,4,Flood_2000_185.tif,0.02,185,2000
4,4,Flood_2000_185.tif,0.02,185,2000
5,4,Flood_2000_185.tif,0.09,185,2000
6,4,Flood_2000_185.tif,0.18,185,2000
7,4,Flood_2000_185.tif,0.19,185,2000
8,4,Flood_2000_185.tif,0.11,185,2000
9,4,Flood_2000_185.tif,0.19,185,2000
10,4,Flood_2000_185.tif,0.08,185,2000
11,4,Flood_2000_185.tif,0.13,185,2000
12,4,Flood_2000_185.tif,0.41,185,2000
3,5,Flood_2000_185.tif,0.04,185,2000
4,5,Flood_2000_185.tif,0.0,185,2000
5,5,Flood_2000_185.tif,0.11,185,2000
6,5,Flood_2000_185.tif,0.18,185,2000
7,5,Flood_2000_185.tif,0.18,185,2000
8,5,Flood_2000_185.tif,0.25,185,2000
9,5,Flood_2000_185.tif,0.27,185,2000
10,5,Flood_2000_185.tif,0.18,185,2000
11,5,Flood_2000_185.tif,0.22,185,2000
3,6,Flood_2000_185.tif,0.04,185,2000
4,6,Flood_2000_185.tif,0.0,185,2000
5,6,Flood_2000_185.tif,0.26,185,2000
6,6,Flood_2000_185.tif,0.19,185,2000
7,6,Flood_2000_185.tif,0.02,185,2000
8,6,Flood_2000_185.tif,0.18,185,2000
9,6,Flood_2000_185.tif,0.13,185,2000
10,6,Flood_2000_185.tif,0.08,185,2000
11,6,Flood_2000_185.tif,0.45,185,2000
2,7,Flood_2000_185.tif,0.15,185,2000
3,7,Flood_2000_185.tif,0.07,185,2000
4,7,Flood_2000_185.tif,0.02,185,2000
5,7,Flood_2000_185.tif,0.16,185,2000
6,7,Flood_2000_185.tif,0.3,185,2000
7,7,Flood_2000_185.tif,0.05,185,2000
8,7,Flood_2000_185.tif,0.02,185,2000
9,7,Flood_2000_185.tif,0.16,185,2000
10,7,Flood_2000_185.tif,0.13,185,2000
11,7,Flood_2000_185.tif,0.35,185,2000
2,8,Flood_2000_185.tif,0.15,185,2000
3,8,Flood_2000_185.tif,0.09,185,2000
4,8,Flood_2000_185.tif,0.06,185,2000
5,8,Flood_2000_185.tif,0.18,185,2000
6,8,Flood_2000_185.tif,0.34,185,2000
7,8,Flood_2000_185.tif,0.13,185,2000
8,8,Flood_2000_185.tif,0.19,185,2000
9,8,Flood_2000_185.tif,0.13,185,2000
2,9,Flood_2000_185.tif,0.09,185,2000
3,9,Flood_2000_185.tif,0.31,185,2000
4,9,Flood_2000_185.tif,0.28,185,2000
5,9,Flood_2000_185.tif,0.08,185,2000
6,9,Flood_2000_185.tif,0.09,185,2000
7,9,Flood_2000_185.tif,0.43,185,2000
8,9,Flood_2000_185.tif,0.52,185,2000
2,10,Flood_2000_185.tif,0.05,185,2000
3,10,Flood_2000_185.tif,0.09,185,2000
4,10,Flood_2000_185.tif,0.35,185,2000
5,10,Flood_2000_185.tif,0.43,185,2000
2,11,Flood_2000_185.tif,0.15,185,2000
3,11,Flood_2000_185.tif,0.17,185,2000
4,11,Flood_2000_185.tif,0.47,185,2000
2,12,Flood_2000_185.tif,0.47,185,2000
3,12,Flood_2000_185.tif,0.35,185,2000
4,12,Flood_2000_185.tif,0.06,185,2000
2,13,Flood_2000_185.tif,0.29,185,2000
6,0,Flood_2000_193.tif,0.14,193,2000
7,0,Flood_2000_193.tif,0.17,193,2000
10,0,Flood_2000_193.tif,0.01,193,2000
3,1,Flood_2000_193.tif,0.39,193,2000
4,1,Flood_2000_193.tif,0.12,193,2000
5,1,Flood_2000_193.tif,0.22,193,2000
6,1,Flood_2000_193.tif,0.48,193,2000
7,1,Flood_2000_193.tif,0.21,193,2000
8,1,Flood_2000_193.tif,0.09,193,2000
9,1,Flood_2000_193.tif,0.04,193,2000
10,1,Flood_2000_193.tif,0.02,193,2000
3,2,Flood_2000_193.tif,0.25,193,2000
4,2,Flood_2000_193.tif,0.29,193,2000
5,2,Flood_2000_193.tif,0.24,193,2000
6,2,Flood_2000_193.tif,0.34,193,2000
7,2,Flood_2000_193.tif,0.17,193,2000
8,2,Flood_2000_193.tif,0.09,193,2000
9,2,Flood_2000_193.tif,0.04,193,2000
10,2,Flood_2000_193.tif,0.01,193,2000
